sr no.,Wn,LL,PI,e0,Gs,cc
1,33.6,33,13,0.789,2.6,0.28
2,26.2,46,24,0.666,2.7,0.126
3,30.5,37,18,0.853,2.67,0.26
4,19.2,34,15,0.706,2.5,0.196
5,32.5,40,20,0.793,2.65,0.186
6,30.2,41,22,0.777,2.68,0.219
7,39.1,67,43,0.939,2.55,0.36
8,55.7,60,32,1.357,2.54,0.5
9,34.5,75,47,0.828,2.58,0.27
10,36.5,62,34,0.959,2.72,0.375
11,36.2,58,33,0.894,2.63,0.32
12,22.5,25,5,0.595,2.64,0.183
13,12.7,31,10,0.63,2.62,0.236
14,22.4,27,8,1,2.67,0.196
15,20.8,30,10,0.508,2.69,0.05
16,24.5,31,12,0.748,2.61,0.266
17,25.7,46,23,0.722,2.63,0.199
18,26.6,27,7,0.766,2.66,0.149
19,44.4,42,20,1.148,2.7,0.26
20,40.3,42,19,1.04,2.73,0.27
21,48.1,40,19,1.286,2.72,0.322
22,32.7,44,22,0.859,2.64,0.216
23,26.7,40,19,0.669,2.67,0.133
24,27.7,36,14,0.677,2.63,0.136
25,28.6,41,17,0.702,2.58,0.146
26,47.6,42,21,1.135,2.63,0.37
27,27.4,27,6,0.68,2.66,0.163
28,18.7,34,13,0.711,2.66,0.22
29,39.1,49,24,0.948,2.6,0.32
30,25.9,36,13,0.762,2.7,0.103
31,27.6,37,16,0.748,2.61,0.236
32,24.4,38,14,0.613,2.53,0.13
33,28.6,35,14,0.764,2.62,0.3
34,31.1,30,10,0.856,2.68,0.25
35,21.6,39,21,0.552,2.6,0.11
36,28.8,36,17,0.759,2.64,0.21
37,20,36,20,0.562,2.61,0.163
38,21.3,27,17,0.547,2.64,0.103
39,25.2,42,20,0.645,2.6,0.159
40,22.1,34,13,0.66,2.6,0.173
41,22.4,58,32,0.685,2.61,0.153
42,20,40,19,0.605,2.6,0.196
43,17.2,43,21,0.73,2.7,0.206
44,19.4,44,21,0.576,2.7,0.11
45,31.2,50,29,0.74,2.52,0.259
46,23.7,40,21,0.585,2.6,0.22
47,37.5,47,24,0.915,2.6,0.29
48,29.7,36,14,0.753,2.63,0.2
49,25.9,31,11,0.736,2.63,0.21
50,24.1,27,8,0.675,2.67,0.126
51,21.6,34,12,0.83,2.59,0.28
52,25.3,34,13,0.734,2.61,0.2
53,27.1,37,14,0.72,2.65,0.176
54,31.4,29,7,0.839,2.68,0.15
55,30.8,35,13,0.825,2.71,0.2
56,30.8,25,5,0.869,2.69,0.2
57,22.4,53,28,0.583,2.6,0.169
58,19.5,52,28,0.517,2.61,0.14
59,27.1,45,22,0.652,2.6,0.18
60,28.9,52,28,0.806,2.55,0.28
61,39,53,29,0.98,2.63,0.26
62,25.3,35,14,0.675,2.7,0.13
63,25.2,40,18,0.588,2.6,0.16
64,26.7,29,8,0.663,2.67,0.12
65,29.7,30,10,0.718,2.66,0.11
66,22.6,33,10,0.632,2.64,0.116
67,36.5,49,28,0.97,2.62,0.29
68,29.4,52,28,0.731,2.62,0.22
69,27.1,45,22,0.809,2.72,0.22
70,24.7,29,11,0.71,2.63,0.19
71,24.4,40,22,0.695,2.7,0.123
72,48.7,25,5,1.222,2.59,0.41
73,36.9,56,28,0.909,2.57,0.27
74,22.6,56,34,0.612,2.68,0.15
75,31.9,39,17,0.837,2.68,0.2
76,27.2,33,14,0.677,2.66,0.17
77,24.7,34,13,0.745,2.67,0.18
78,25.3,27,8,0.661,2.66,0.156
79,26,37,17,0.723,2.59,0.21
80,26.9,42,20,0.716,2.58,0.216
81,21.8,38,17,0.563,2.67,0.103
82,32,51,32,0.829,2.59,0.31
83,40.9,37,10,0.928,2.53,0.31
84,23.5,35,15,0.507,2.52,0.11
85,57.4,79,45,1.587,2.53,0.628
86,31.1,43,22,0.964,2.65,0.365
87,32.2,30,10,0.782,2.62,0.159
88,38.1,42,20,0.87,2.51,0.256
89,29.8,47,27,0.736,2.57,0.25
90,27.5,34,15,0.739,2.72,0.146
91,22.1,34,14,0.573,2.59,0.123
92,31.8,37,16,0.776,2.65,0.166
93,27.3,37,18,0.802,2.74,0.179
94,27.4,36,14,0.777,2.63,0.229
95,27.2,31,11,0.769,2.65,0.176
96,28.1,34,12,0.824,2.66,0.269
97,22.1,43,21,0.643,2.56,0.203
98,24.5,39,19,0.761,2.62,0.183
99,29.6,37,15,0.761,2.66,0.173
100,11.5,45,22,0.537,2.63,0.13
101,17.6,52,28,0.615,2.56,0.21
102,18.5,46,23,0.611,2.62,0.173
103,19.2,51,25,0.586,2.63,0.186
104,13.6,46,22,0.407,2.62,0.113
105,35.3,35,13,0.841,2.61,0.256
106,32.1,49,29,0.805,2.61,0.233
107,32.4,48,28,0.85,2.65,0.249
108,32.8,49,28,0.797,2.61,0.309
109,30.5,38,17,0.79,2.62,0.249
110,30.3,42,20,0.755,2.63,0.193
111,31.4,41,22,0.816,2.68,0.266
112,34,33,16,0.894,2.62,0.329
113,28.5,39,19,0.725,2.64,0.183
114,25.6,35,16,0.803,2.62,0.203
115,28.3,37,17,0.734,2.64,0.159
116,30.8,32,14,0.813,2.63,0.272
117,26.7,44,22,0.667,2.67,0.123
118,24.8,26,6,0.704,2.7,0.226
119,22,24,4,0.558,2.64,0.103
120,27.6,37,15,0.873,2.64,0.329
121,41.1,39,17,0.993,2.63,0.259
122,49.2,60,36,1.008,2.63,0.249
123,34.8,51,27,0.854,2.57,0.249
124,27.2,36,19,0.678,2.66,0.153
125,37.8,44,24,0.965,2.69,0.229
126,38.4,62,44,1.014,2.61,0.326
127,35.3,41,20,0.909,2.69,0.226
128,28,37,17,0.721,2.71,0.163
