Actual Y,Predicted Y
0.28,0.27888024
0.126,0.1264126
0.26,0.25827256
0.196,0.20869929
0.186,0.18767048
0.219,0.18934822
0.36,0.36026224
0.5,0.5011994
0.27,0.2693726
0.375,0.29988658
0.32,0.31902787
0.183,0.18158163
0.236,0.23388866
0.196,0.1964703
0.05,0.050661318
0.266,0.19266829
0.199,0.19790405
0.149,0.15161903
0.26,0.31927535
0.27,0.2700353
0.322,0.32137686
0.216,0.21820769
0.133,0.14242826
0.136,0.14063646
0.146,0.147841
0.37,0.34824488
0.163,0.16339502
0.22,0.21816856
0.32,0.31915665
0.103,0.10715649
0.236,0.20984799
0.13,0.16705577
0.3,0.29528403
0.25,0.18589367
0.11,0.11093265
0.21,0.20911138
0.163,0.1628916
0.103,0.10214873
0.159,0.16290472
0.173,0.22658017
0.153,0.1532262
0.196,0.19587803
0.206,0.16844755
0.11,0.10984952
0.259,0.25914454
0.22,0.15621895
0.29,0.2669601
0.2,0.20182997
0.21,0.20609301
0.126,0.13006996
0.28,0.27981964
0.2,0.20012777
0.176,0.17410147
0.15,0.1513239
0.2,0.20146152
0.2,0.20135976
0.169,0.16144688
0.14,0.16942938
0.18,0.18079765
0.28,0.27996132
0.26,0.2605649
0.13,0.13298546
0.16,0.15741204
0.12,0.11924714
0.11,0.113664515
0.116,0.119862564
0.29,0.289145
0.22,0.22069786
0.22,0.21641356
0.19,0.19207767
0.123,0.12370886
0.41,0.41003278
0.27,0.29726216
0.15,0.14339313
0.2,0.20049615
0.17,0.16255035
0.18,0.21054745
0.156,0.13033067
0.21,0.18677053
0.216,0.21446776
0.103,0.10349606
0.31,0.30555743
0.31,0.3101079
0.11,0.10968088
0.628,0.6266865
0.365,0.36594886
0.159,0.16080259
0.256,0.25542572
0.25,0.24730736
0.146,0.15151316
0.123,0.12206793
0.166,0.16593532
0.179,0.18017025
0.229,0.2052928
0.176,0.20590049
0.269,0.268853
0.203,0.20313804
0.183,0.18350701
0.173,0.17541894
0.13,0.12981027
0.21,0.21033789
0.173,0.17333694
0.186,0.18484643
0.113,0.11332921
0.256,0.25609738
0.233,0.23563263
0.249,0.24834567
0.309,0.30605316
0.249,0.2279369
0.193,0.19034733
0.266,0.20453466
0.329,0.32319507
0.183,0.18245289
0.203,0.26924762
0.159,0.18979165
0.272,0.27020377
0.123,0.15832657
0.226,0.22603112
0.103,0.15181197
0.329,0.32606587
0.259,0.25754878
0.249,0.24971993
0.249,0.24931368
0.153,0.15726249
0.229,0.29603183
0.326,0.32613584
0.226,0.28362015
0.163,0.16220772
0.279,0.27595517
0.302,0.30049512
0.149,0.15065446
0.196,0.2104817
0.159,0.16122799
0.156,0.1565051
0.173,0.17436454
0.11,0.110138774
0.149,0.14952618
0.149,0.09985301
0.22,0.21754722
0.149,0.15014172
0.143,0.15734886
0.169,0.17077765
0.176,0.17557126
0.189,0.18405357
0.213,0.21259134
0.252,0.2537772
0.153,0.15423182
0.13,0.13156533
0.163,0.14515054
0.11,0.10969067
0.103,0.10247444
0.183,0.17787005
0.186,0.18817872
0.209,0.1935405
0.196,0.19557196
0.203,0.19739775
0.196,0.1897553
0.4,0.40007126
0.163,0.16626349
0.133,0.13305561
0.199,0.19917569
0.186,0.18605016
0.166,0.16641869
0.213,0.21238649
0.199,0.19873169
0.14,0.18569791
0.159,0.16268903
0.149,0.14934872
0.14,0.14109652
0.183,0.18196003
0.13,0.12949619
0.173,0.16960269
0.103,0.10771597
0.166,0.16476326
0.206,0.20408203
0.146,0.14632435
0.196,0.19522336
0.189,0.18905543
0.282,0.28221563
0.246,0.24619865
0.176,0.19432688
0.209,0.19832516
0.229,0.22975808
0.14,0.14040132
0.163,0.16510294
0.183,0.18203485
0.173,0.17426643
0.14,0.14054243
0.279,0.27568734
0.193,0.1929816
0.183,0.18234533
0.252,0.25236332
0.229,0.21747375
0.143,0.14409968
0.186,0.19106045
0.173,0.17527264
0.149,0.15065446
0.196,0.19892819
0.159,0.16122799
0.173,0.17436454
0.156,0.15580788
0.163,0.16626349
0.133,0.13305561
0.199,0.19917569
0.279,0.27888024
0.126,0.1264126
0.126,0.12629175
0.146,0.14688846
0.106,0.105696306
0.179,0.18204616
0.246,0.24816595
0.213,0.2116482
0.246,0.24359836
0.223,0.22373876
0.166,0.16585547
0.169,0.16886246
0.169,0.16762175
0.226,0.22447664
0.159,0.15889977
0.216,0.21622811
0.249,0.24776796
0.252,0.25005007
0.12,0.11995279
0.156,0.12776636
0.216,0.21638478
0.156,0.15614703
0.183,0.18182921
0.159,0.15911132
0.256,0.25709632
0.159,0.15946046
0.11,0.11042716
0.159,0.119822204
0.106,0.118456334
0.09,0.08980379
0.189,0.19218002
0.09,0.09028189
0.149,0.14931384
0.156,0.15621763
0.209,0.20730841
0.203,0.20533505
0.249,0.2468966
0.169,0.17254604
0.223,0.22104122
0.189,0.1881232
0.199,0.19886833
0.166,0.132523
0.14,0.17312716
0.169,0.16897854
0.173,0.17218553
0.183,0.18164366
0.113,0.16537003
0.219,0.21871805
0.213,0.21208146
0.153,0.15513784
0.409,0.40924695
0.259,0.2591145
0.385,0.38382328
0.176,0.17601609
0.306,0.3218789
0.209,0.20982896
0.355,0.35494572
0.312,0.2687902
